===========================================
Hillcrest Motion Data Log

Date: April 20, 2022 at 11:44:09 AM MDT

Channel, Units
SAMPLE_ID, null
MOUSE, mickeys
LINEAR_ACCELERATION, m/s^2
LIN_ACC_NO_GRAVITY, m/s^2
ANGULAR_VELOCITY, rad/s
MAGNETOMETER, gauss
TEMPERATURE, degC
ANGULAR_POSITION, 
===========================================
Additional Info

Time elapsed: 13.6467922 seconds
First sample id: 684194
Last sample id: 685903
Total packets: 1709 packets
Dropped packets: 0 packets
Time of first lost packet: 0
Average sample rate: 125.23089492049274 Hz
===========================================
Timestamp (us),     SAMPLE_ID, MOUSE_x, MOUSE_y, LINEAR_ACCELERATION_x, LINEAR_ACCELERATION_y, LINEAR_ACCELERATION_z, LIN_ACC_NO_GRAVITY_x, LIN_ACC_NO_GRAVITY_y, LIN_ACC_NO_GRAVITY_z, ANGULAR_VELOCITY_x, ANGULAR_VELOCITY_y, ANGULAR_VELOCITY_z, MAGNETOMETER_x, MAGNETOMETER_y, MAGNETOMETER_z, TEMPERATURE, ANGULAR_POSITION_w, ANGULAR_POSITION_x, ANGULAR_POSITION_y, ANGULAR_POSITION_z, 
144088,      684212,           0,           0,-0.544921875,-0.4248046875, -9.95703125,-0.0302734375,0.0400390625,-0.0478515625,-0.0029296875,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02606201171875,0.02325439453125,-0.1063232421875,
152072,      684213,           0,           0,-0.5400390625,-0.4521484375,-9.9111328125,-0.025390625,  0.01171875,-0.0009765625,-0.001953125,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02606201171875,0.02325439453125,-0.1063232421875,
160052,      684214,           0,           0, -0.51953125,-0.451171875,-9.935546875, -0.00390625,0.0126953125,-0.025390625,-0.0029296875,-0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02606201171875,0.02325439453125,-0.1063232421875,
168050,      684215,           0,           0,-0.513671875,-0.4287109375,-9.8994140625, 0.001953125,  0.03515625,  0.01171875,-0.001953125,0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.0260009765625,0.0233154296875,-0.1063232421875,
176038,      684216,           0,           0,-0.486328125,-0.4384765625,-9.8720703125, 0.029296875, 0.025390625,0.0380859375,-0.0009765625,0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.0260009765625,0.0233154296875,-0.1063232421875,
184028,      684217,           0,           0,-0.4951171875,-0.431640625,-9.8623046875,0.0205078125,     0.03125,0.0478515625,-0.001953125,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.0260009765625,0.0233154296875,-0.1063232421875,
192052,      684218,           0,           0,-0.5166015625,-0.431640625,-9.861328125,-0.0009765625,0.0302734375, 0.048828125,-0.0009765625,-0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02593994140625,0.0233154296875,-0.1063232421875,
200052,      684219,           0,           0,-0.513671875,-0.4033203125,-9.9482421875,0.0029296875,  0.05859375,-0.0380859375,-0.001953125,-0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.02593994140625,0.0233154296875,-0.1063232421875,
208068,      684220,           0,           0,-0.5185546875, -0.42578125,-9.904296875,-0.0029296875,  0.03515625, 0.005859375,-0.001953125,-0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.02587890625,0.0233154296875,-0.1063232421875,
216062,      684221,           0,           0,   -0.515625,-0.4287109375,  -9.8828125,0.0009765625,     0.03125,  0.02734375,-0.0029296875,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02587890625,0.02337646484375,-0.10638427734375,
224040,      684222,           0,           0,-0.541015625,-0.4443359375,-9.931640625,-0.0244140625,0.0146484375,-0.0224609375,-0.001953125,-0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.02581787109375,0.02337646484375,-0.10638427734375,
232021,      684223,           0,           0,-0.5166015625,-0.4443359375, -9.92578125,           0,0.0146484375,-0.0166015625,           0,-0.001953125,           0,           0,           0,           0,           0,0.99371337890625,-0.0257568359375,0.02337646484375,-0.10638427734375,
240035,      684224,           0,           0,-0.5361328125,-0.4423828125,-9.9228515625,-0.0185546875,    0.015625,-0.0126953125,           0,-0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.0257568359375,0.02337646484375,-0.10638427734375,
248033,      684225,           0,           0,-0.5732421875,-0.4482421875,-9.9091796875,-0.0556640625, 0.009765625,           0,           0,-0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02569580078125,   0.0234375,-0.10638427734375,
256037,      684226,           0,           0,-0.5263671875,-0.4638671875,-9.935546875,-0.0087890625,-0.005859375,-0.0263671875,0.0009765625,           0,-0.001953125,           0,           0,           0,           0,0.99371337890625,-0.02569580078125,   0.0234375,-0.10638427734375,
264078,      684227,           0,           0,-0.544921875,  -0.4453125,-9.9150390625, -0.02734375,  0.01171875,-0.005859375,0.0009765625,           0,-0.001953125,           0,           0,           0,           0,0.99371337890625,-0.02569580078125,   0.0234375,-0.10638427734375,
272034,      684228,           0,           0,-0.509765625,-0.4580078125, -9.94140625,   0.0078125,-0.001953125,    -0.03125,0.0029296875,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02569580078125,0.02349853515625,-0.10638427734375,
280031,      684229,           0,           0,   -0.515625,-0.455078125,-9.966796875, 0.001953125,0.0009765625,-0.056640625,  0.00390625,0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.02569580078125,0.02349853515625,-0.10638427734375,
288060,      684230,           0,           0,-0.5166015625,-0.4580078125,-9.8720703125, 0.001953125,-0.001953125,   0.0390625,  0.00390625,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02569580078125,0.02349853515625,-0.10638427734375,
296065,      684231,           0,           0,-0.4990234375,-0.443359375, -9.88671875,0.0205078125, 0.013671875,0.0244140625,0.0009765625,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.025634765625,0.02349853515625,-0.10638427734375,
304019,      684232,           0,           0, -0.47265625,-0.4423828125,-9.8876953125,0.0458984375, 0.013671875,   0.0234375,0.0029296875,0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.025634765625,0.02349853515625,-0.10638427734375,
312048,      684233,           0,           0,   -0.484375,-0.4521484375,-9.8896484375,0.0341796875,  0.00390625,0.0205078125,0.0009765625,-0.0009765625,-0.001953125,           0,           0,           0,           0,0.99371337890625,-0.025634765625,0.02349853515625,-0.10638427734375,
320022,      684234,           0,           0,-0.5126953125, -0.43359375,-9.8759765625, 0.005859375, 0.021484375,0.0341796875,0.0009765625,-0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.025634765625,0.02349853515625,-0.1063232421875,
328054,      684235,           0,           0,-0.5166015625,  -0.4609375, -9.93359375,0.0009765625,-0.005859375,  -0.0234375,0.0029296875,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.025634765625,0.02349853515625,-0.1063232421875,
336108,      684236,           0,           0,-0.505859375,-0.474609375,-9.9443359375,0.0126953125, -0.01953125,-0.0341796875,0.0029296875,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.025634765625,   0.0234375,-0.1063232421875,
344116,      684237,           0,           0,-0.5146484375,-0.4658203125, -9.94140625,0.0029296875,-0.009765625,-0.0302734375,0.0009765625,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.025634765625,   0.0234375,-0.1063232421875,
352097,      684238,           0,           0,-0.529296875,-0.494140625,-9.951171875, -0.01171875,-0.0380859375,-0.0400390625,           0,-0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.025634765625,   0.0234375,-0.1063232421875,
360082,      684239,           0,           0,-0.5537109375,-0.4794921875,  -9.9609375,-0.0361328125,  -0.0234375,-0.0498046875,           0,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.025634765625,   0.0234375,-0.1063232421875,
368039,      684240,           0,           0,-0.5126953125,-0.4931640625,-9.8994140625,0.0048828125,-0.037109375,0.0126953125, 0.001953125,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.025634765625,   0.0234375,-0.1063232421875,
376045,      684241,           0,           0,-0.5537109375,-0.4970703125, -9.95703125, -0.03515625,-0.0400390625,-0.044921875,0.0029296875,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02569580078125,   0.0234375,-0.1063232421875,
384055,      684242,           0,           0,-0.5068359375,-0.4638671875,-9.9052734375,  0.01171875,-0.0068359375,0.0068359375,           0,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02569580078125,   0.0234375,-0.1063232421875,
392068,      684243,           0,           0,-0.5302734375,-0.5068359375,  -9.9296875,-0.0126953125,-0.048828125,-0.017578125,           0,0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02569580078125,   0.0234375,-0.1063232421875,
400050,      684244,           0,           0,-0.525390625,-0.4736328125,-9.900390625,-0.0068359375,   -0.015625,0.0126953125,0.0009765625,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.0257568359375,   0.0234375,-0.1063232421875,
408024,      684245,           0,           0,-0.5107421875,-0.498046875,    -9.90625,0.0068359375,  -0.0390625,0.0068359375,           0,0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.0257568359375,   0.0234375,-0.1063232421875,
416038,      684246,           0,           0, -0.50390625,-0.4873046875,-9.861328125, 0.013671875, -0.02734375,0.0517578125,-0.0009765625,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02581787109375,   0.0234375,-0.1063232421875,
422045,      684247,           0,           0,-0.498046875,-0.4814453125,  -9.8828125,  0.01953125,-0.021484375,0.0302734375,           0,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02581787109375,   0.0234375,-0.1063232421875,
430065,      684248,           0,           0,  -0.4921875,-0.4873046875,-9.9189453125, 0.025390625,-0.0263671875,-0.005859375,-0.0009765625,-0.001953125,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02587890625,   0.0234375,-0.1063232421875,
438051,      684249,           0,           0,-0.509765625,-0.455078125, -9.87890625,   0.0078125, 0.005859375,0.0341796875, -0.00390625,-0.0009765625,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02587890625,   0.0234375,-0.1063232421875,
446051,      684250,           0,           0,-0.5048828125,-0.4892578125,-9.8798828125,0.0126953125, -0.02734375,0.0322265625,-0.0029296875,-0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.02587890625,0.02337646484375,-0.1063232421875,
454056,      684251,           0,           0,-0.5400390625,-0.490234375,  -9.9140625,-0.0224609375,-0.0283203125,-0.001953125,-0.001953125,-0.001953125,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.02593994140625,0.02337646484375,-0.1063232421875,
462038,      684252,           0,           0,  -0.5234375, -0.48828125,-9.9130859375,-0.005859375,-0.025390625,-0.0009765625,-0.001953125,-0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.02593994140625,0.02337646484375,-0.1063232421875,
470035,      684253,           0,           0,-0.5400390625,-0.4833984375,-9.9189453125,-0.0224609375,-0.0205078125,-0.0068359375,-0.001953125,-0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.0260009765625,0.02337646484375,-0.1063232421875,
478065,      684254,           0,           0,-0.5537109375,-0.4560546875,-9.951171875, -0.03515625,   0.0078125,  -0.0390625,-0.001953125,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.0260009765625,   0.0234375,-0.1063232421875,
486057,      684255,           0,           0,-0.5341796875,-0.4677734375, -9.94921875,-0.0166015625, -0.00390625,-0.0380859375,-0.001953125,           0,-0.0009765625,           0,           0,           0,           0,0.99371337890625,-0.0260009765625,   0.0234375,-0.1063232421875,
494062,      684256,           0,           0,-0.5048828125,-0.4677734375,  -9.9296875, 0.013671875, -0.00390625,-0.017578125,-0.001953125,-0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.02606201171875,   0.0234375,-0.1063232421875,
502060,      684257,           0,           0,-0.517578125,-0.4697265625,-9.9501953125,0.0009765625,-0.005859375,-0.0380859375,-0.001953125,           0,           0,           0,           0,           0,           0,0.99371337890625,-0.02606201171875,   0.0234375,-0.1063232421875,
510006,      684258,           0,           0,-0.501953125,-0.458984375,-9.9052734375,0.0166015625, 0.005859375,0.0068359375,-0.001953125,0.0009765625,           0,           0,           0,           0,           0,0.99371337890625,-0.02606201171875,   0.0234375,-0.1063232421875,
